Book,chapter,verse,Qoute,tW Slug,Word,ULB
Titus,2,12,ungodliness,ungodly.txt," ungodly, godless, ungodliness, godlessness ","It trains us to deny ungodliness and worldly passions. It trains us to live sensibly, righteously, and in a godly way in this age
"
Titus,2,12,worldly,world.txt," world, worldly ","It trains us to deny ungodliness and worldly passions. It trains us to live sensibly, righteously, and in a godly way in this age
"
Titus,2,13,God,God.txt,God,"while we look forward to receiving our blessed hope, the appearance of the glory of our great God and Savior Jesus Christ.
"
Titus,2,13,Jesus Christ,jesus.txt," Jesus, Jesus Christ, Christ Jesus ","while we look forward to receiving our blessed hope, the appearance of the glory of our great God and Savior Jesus Christ.
"
Titus,2,13,Savior,savior.txt, Savior ,"while we look forward to receiving our blessed hope, the appearance of the glory of our great God and Savior Jesus Christ.
"
Titus,2,13,blessed,bless.txt," bless, blessed, blessing ","while we look forward to receiving our blessed hope, the appearance of the glory of our great God and Savior Jesus Christ.
"
Titus,2,13,glory,glory.txt," glory, glorious ","while we look forward to receiving our blessed hope, the appearance of the glory of our great God and Savior Jesus Christ.
"
Titus,2,13,hope,hope.txt, hope ,"while we look forward to receiving our blessed hope, the appearance of the glory of our great God and Savior Jesus Christ.
"
Titus,2,14,Jesus,jesus.txt," Jesus, Jesus Christ, Christ Jesus ","Jesus gave himself for us in order to redeem us from all lawlessness and to make pure, for himself, a special people who are eager to do good works.
"
Titus,2,14,good,good.txt," good, goodness ","Jesus gave himself for us in order to redeem us from all lawlessness and to make pure, for himself, a special people who are eager to do good works.
"
Titus,2,14,pure,purify.txt," pure, purify, purification ","Jesus gave himself for us in order to redeem us from all lawlessness and to make pure, for himself, a special people who are eager to do good works.
"
Titus,2,14,works,works.txt," works, deeds, work, acts ","Jesus gave himself for us in order to redeem us from all lawlessness and to make pure, for himself, a special people who are eager to do good works.
"
Titus,2,14,redeem,redeem.txt," redeem, redemption, redeemer ","Jesus gave himself for us in order to redeem us from all lawlessness and to make pure, for himself, a special people who are eager to do good works.
"
Titus,2,15,authority,authority.txt, authority ,"Speak of and encourage these things. Give correction with all authority. Let no one disregard you.
"
Titus,3,1,good,good.txt," good, goodness ","Remind them to submit to rulers and authorities, to obey them, to be ready for every good work.
"
Titus,3,1,work,works.txt," works, deeds, work, acts ","Remind them to submit to rulers and authorities, to obey them, to be ready for every good work.
"
Titus,3,3,led astray,astray.txt," astray, go astray, led astray, stray ","For once we ourselves were thoughtless and disobedient. We were led astray and enslaved by various passions and pleasures. We lived in evil and envy. We were detestable and hated one another.
"
Titus,3,3,evil,evil.txt," evil, wicked, wickedness ","For once we ourselves were thoughtless and disobedient. We were led astray and enslaved by various passions and pleasures. We lived in evil and envy. We were detestable and hated one another.
"
Titus,3,4,God,God.txt,God,"But when the kindness of God our savior and his love for mankind appeared,
"
Titus,3,4,savior,savior.txt, Savior ,"But when the kindness of God our savior and his love for mankind appeared,
"
Titus,3,4,love,love.txt, love ,"But when the kindness of God our savior and his love for mankind appeared,
"
Titus,3,5,Holy Spirit,holyspirit.txt," Holy Spirit, Spirit of God, Spirit of the Lord ","it was not by works of righteousness that we did, but by his mercy that he saved us. He saved us through the washing of new birth and renewal by the Holy Spirit.
"
Titus,3,5,new birth,bornagain.txt," born again, born of God, new birth ","it was not by works of righteousness that we did, but by his mercy that he saved us. He saved us through the washing of new birth and renewal by the Holy Spirit.
"
Titus,3,5,righteousness,righteous.txt," righteous, righteousness ","it was not by works of righteousness that we did, but by his mercy that he saved us. He saved us through the washing of new birth and renewal by the Holy Spirit.
"
Titus,3,5,works,works.txt," works, deeds, work, acts ","it was not by works of righteousness that we did, but by his mercy that he saved us. He saved us through the washing of new birth and renewal by the Holy Spirit.
"
Titus,3,5,mercy,mercy.txt," mercy, merciful ","it was not by works of righteousness that we did, but by his mercy that he saved us. He saved us through the washing of new birth and renewal by the Holy Spirit.
"
Titus,3,6,God,God.txt,God,"God richly poured the Holy Spirit on us through our Savior Jesus Christ.
"
Titus,3,6,Holy Spirit,holyspirit.txt," Holy Spirit, Spirit of God, Spirit of the Lord ","God richly poured the Holy Spirit on us through our Savior Jesus Christ.
"
Titus,3,6,Jesus Christ,jesus.txt," Jesus, Jesus Christ, Christ Jesus ","God richly poured the Holy Spirit on us through our Savior Jesus Christ.
"
Titus,3,6,Savior,savior.txt, Savior ,"God richly poured the Holy Spirit on us through our Savior Jesus Christ.
"
Titus,3,7,grace,grace.txt," grace, gracious ","He did this in order that, having been justified by his grace, we might become heirs through the confidence of eternal life.
"
Titus,3,7,life,life.txt," life, live, living, alive ","He did this in order that, having been justified by his grace, we might become heirs through the confidence of eternal life.
"
Titus,3,7,confidence,confidence.txt," confidence, confident ","He did this in order that, having been justified by his grace, we might become heirs through the confidence of eternal life.
"
Titus,3,7,eternal,eternity.txt," everlasting, eternal, eternity ","He did this in order that, having been justified by his grace, we might become heirs through the confidence of eternal life.
"
Titus,3,8,God,God.txt,God,"This message is trustworthy. I want you to speak confidently about these things, so that those who trust God may be intent on the good works that he put before them. These things are good and profitable for all people.
"
Titus,3,8,good,good.txt," good, goodness ","This message is trustworthy. I want you to speak confidently about these things, so that those who trust God may be intent on the good works that he put before them. These things are good and profitable for all people.
"
Titus,3,8,good,good.txt," good, goodness ","This message is trustworthy. I want you to speak confidently about these things, so that those who trust God may be intent on the good works that he put before them. These things are good and profitable for all people.
"
Titus,3,8,profitable,profit.txt," profit, profitable ","This message is trustworthy. I want you to speak confidently about these things, so that those who trust God may be intent on the good works that he put before them. These things are good and profitable for all people.
"
Titus,3,8,trustworthy,trust.txt," trust, trustworthy, trustworthiness ","This message is trustworthy. I want you to speak confidently about these things, so that those who trust God may be intent on the good works that he put before them. These things are good and profitable for all people.
"
Titus,3,8,trust,trust.txt," trust, trustworthy, trustworthiness ","This message is trustworthy. I want you to speak confidently about these things, so that those who trust God may be intent on the good works that he put before them. These things are good and profitable for all people.
"
Titus,3,8,works,works.txt," works, deeds, work, acts ","This message is trustworthy. I want you to speak confidently about these things, so that those who trust God may be intent on the good works that he put before them. These things are good and profitable for all people.
"
Titus,3,9,law,lawofmoses.txt," law, law of Moses, God's law, law of Yahweh ","But avoid foolish debates and genealogies and strife and conflict about the law. Those things are worthless and unprofitable.
"
Titus,3,9,worthless,worthy.txt," worthy, worth, unworthy, worthless ","But avoid foolish debates and genealogies and strife and conflict about the law. Those things are worthless and unprofitable.
"
Titus,3,9,foolish,foolish.txt," fool, foolish, folly ","But avoid foolish debates and genealogies and strife and conflict about the law. Those things are worthless and unprofitable.
"
Titus,3,11,know,know.txt," know, knowledge, make known ","and know that such a one has turned from the right way and is sinning and condemns himself.
"
Titus,3,11,sinning,sin.txt," sin, sinful, sinner, sinning ","and know that such a one has turned from the right way and is sinning and condemns himself.
"
Titus,3,13,law,lawofmoses.txt," law, law of Moses, God's law, law of Yahweh ","Hurry and send Zenas, the expert in law, and Apollos, in a way that they lack nothing.
"
Titus,3,13,Apollos,apollos.txt, Apollos ,"Hurry and send Zenas, the expert in law, and Apollos, in a way that they lack nothing.
"
Titus,3,14,good,good.txt," good, goodness ","Our people must learn to engage in good works that meet urgent needs so that they may not be unfruitful.
"
Titus,3,14,works,works.txt," works, deeds, work, acts ","Our people must learn to engage in good works that meet urgent needs so that they may not be unfruitful.
"
Titus,3,15,faith,faith.txt, faith ,"All those who are with me greet you. Greet those who love us in faith. Grace be with all of you.
"
Titus,3,15,Grace,grace.txt," grace, gracious ","All those who are with me greet you. Greet those who love us in faith. Grace be with all of you.
"
Titus,3,15,love,love.txt, love ,"All those who are with me greet you. Greet those who love us in faith. Grace be with all of you.
"
